patch_id,installed_on,description,installed_by
KB2849697,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2849696,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2841134,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2670838,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2479943,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2491683,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2506014,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2506212,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2506928,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2532531,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB2533552,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2533623,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2534111,9/19/2020,Hotfix,
KB2545698,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2547666,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2552343,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2560656,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2564958,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2579686,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2585542,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2603229,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2604115,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2620704,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2621440,10/6/2020,Security Update,NT AUTHORITY\SYSTEM
KB2631813,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2639308,10/10/2020,Hotfix,NT AUTHORITY\SYSTEM
KB2640148,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2653956,10/6/2020,Security Update,NT AUTHORITY\SYSTEM
KB2654428,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2660075,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2667402,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2685811,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2685813,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2685939,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2690533,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2698365,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2705219,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2706045,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2719857,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2726535,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2727528,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2729094,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2729452,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2731771,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2732059,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2736422,10/9/2020,Security Update,NT AUTHORITY\SYSTEM
KB2742599,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB2750841,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB2758857,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
